v1,v2
spam,"Need M.o.n.e.y? Vay không thế chấp, duyệt hồ sơ auto. Hạn mức 50tr. Inbox ngay để được Support."
spam,"[G.A.R.E.N.A] Tặng G.i.f.t.c.o.d.e skin súng huyền thoại Free. Chỉ dành cho Gamers may mắn tại: garena-gift.vn"
spam,"Xả kho l.o.w-c.o.s.t các mẫu Sneaker hot nhất 2026. Sale 70% O.F.F. Freeship toàn quốc. Web: giay-rep.net"
spam,"Cảnh báo! Apple_ID của bạn bị l.o.c.k. Vui lòng Sign-in để Unlock: http://id-apple-secure.com"
spam,"Dịch vụ t.h.á.m t.ử u.y t.í.n. T.r.a c.ứ.u tin nhắn, định vị số điện thoại 100% chuẩn. Zalo: 03x.xxx.xxx"
spam,"S.ố đ.i.ệ.n t.h.o.ạ.i của bạn may mắn trúng thưởng SH 150i. Gọi 1900xxxx để gặp bộ phận P.R.o.m.o.t.i.o.n."
spam,"Tuyển G.i.r.l làm việc tại Karaoke/Spa lương cao, bao ăn ở. Income cực khủng mỗi tháng. LH: 094x.xxx.xxx"
spam,"[B.H.X.H] Thông báo nhận t.i.ề.n h.ỗ t.r.ợ từ quỹ B.ả.o h.i.ể.m x.ã h.ộ.i. Link đăng ký: bhxh-gov.xyz"
spam,"Trade C.o.i.n không khó! Nhận ngay b.ộ t.à.i l.i.ệ.u hướng dẫn từ Pro-trader. Free 100%. Link: trade-vn.org"
spam,"Chuyên c.u.n.g c.ấ.p s.i.m r.á.c để tạo account, b.ú.t đơn Shopee. Giá chỉ 5k/sim. LH: 05x.xxx.xxx"
spam,"[Z.A.L.O] Thông báo account của bạn bị Report. Vui lòng X.á.c t.h.ự.c thông tin cá nhân: http://zalo-check.me"
spam,"M.u.a b.ằ.n.g lái xe A1, A2, B2... không cần thi, p.h.ô.i t.h.ậ.t của Bộ GTVT. Uy tín, k.í.n đ.á.o."
spam,"H.ỗ t.r.ợ n.ợ x.ấ.u n.g.â.n h.à.n.g, giải ngân s.i.ê.u t.ố.c trong 5 phút. Nhận money qua ATM. Link: vay-nhanh.com"
spam,"Sale s.ố.c: Đồng hồ R.o.l.e.x chính hãng xách tay giá chỉ 2tr999k. Limited Edition. Order now: rolex-sale.vn"
spam,"[T.E.L.E.G.R.A.M] Bạn đã được thêm vào nhóm 'K.i.ế.m t.i.ề.n t.ạ.i n.h.à'. Click để join group."
spam,"H.ỗ t.r.ợ x.ó.a n.ợ c.ư.ớ.c trả sau nhà mạng, l.à.m s.i.m chính chủ không cần ra Store. LH: 08x.xxx.xxx"
spam,"Bạn có 1 P.a.r.c.e.l bị thất lạc tại kho trung chuyển. Thanh toán fee vận chuyển để nhận. Link: vn-post-tracking.info"
spam,"Tuyển CTV d.ị.c.h t.h.u.ậ.t Anh-Việt online. Pay m.o.n.e.y theo page. Job ổn định lâu dài. Inbox."
spam,"[N.E.T.F.L.I.X] Acc của bạn đã H.ế.t h.ạ.n. Update p.a.y.m.e.n.t m.e.t.h.o.d để tiếp tục xem: http://netflix-update.site"
spam,"M.ở b.á.n đất nền d.ự á.n S.t.a.r L.a.k.e. Lợi nhuận c.a.m k.ế.t 30%/năm. Gọi Hotline: 091x.xxx.xxx"
spam,"Dịch vụ l.ấ.y l.ạ.i m.ậ.t k.h.ẩ.u F.B, Z.a.l.o bị h.a.c.k. Phí rẻ, nhận l.à.m ngay. LH: 097x.xxx.xxx"
spam,"[U.B.E.R] Nhận ngay code D.i.s.c.o.u.n.t 50k cho chuyến đi tiếp theo của bạn. Sử dụng tại: uber-promo.vn"
spam,"C.ơ h.ộ.i s.ở h.ữ.u s.i.m s.ố đ.ẹ.p T.ứ q.u.ý 8888, 9999 giá rẻ bèo. Click để xem kho sim: khosim-vip.com"
spam,"[C.ả.n.h b.á.o] Virus đang xâm nhập SmartPhone của bạn. Install Anti-Virus ngay: http://clean-phone.xyz"
spam,"Dịch vụ s.o.i c.ầ.u b.ó.i t.o.á.n, chốt số l.ô đ.ề s.i.ê.u c.h.u.ẩ.n mỗi ngày. Inbox Zalo nhận s.ố đ.ẹ.p."
spam,"G.i.ả.m g.i.á 90% khi mua Combo 3 nước hoa C.h.a.n.e.l. Duy nhất trong T.o.d.a.y. Link: chanel-perfume.net"
spam,"[I.C.L.O.U.D] Storage của bạn đã full. Upgrade m.i.ễ.n p.h.í tại: http://apple-storage-free.com"
spam,"Tuyển n.h.â.n v.i.ê.n r.ả.i t.ờ r.ơ.i, lương trả theo ngày. Không cần bằng cấp. LH: 032x.xxx.xxx"
spam,"[B.E.T.3.6.5] Thưởng nạp đầu up to 10tr VND. Rút m.o.n.e.y s.i.ê.u t.ố.c 24/7. Link: vn-bet365.me"
spam,"Cung cấp p.h.ầ.n m.ề.m q.u.ả.n l.ý t.i.n n.h.ắ.n, đ.ọ.c t.r.ộ.m Zalo/FB người khác. Uy tín bảo mật."
spam,"[S.H.O.P.E.E] Chúc mừng bạn trúng V.o.u.c.h.e.r 1.000k mua sắm Free. Click để claim: shopee-gift.vn"
spam,"H.ỗ t.r.ợ g.i.ả.i n.g.â.n vốn kinh doanh cho hộ nghèo, lãi suất thấp nhất M.a.r.k.e.t. LH: 096x.xxx.xxx"
spam,"M.u.a I.P.h.o.n.e trả góp không cần trả trước, d.u.y.ệ.t h.ồ s.ơ n.ợ x.ấ.u. Xem tại: mobile-store.com"
spam,"[M.O.M.O] Quà tặng tri ân h.è 2026 dành cho bạn. Mở hộp quà tại: http://momo-summer-gift.com"
spam,"Tuyển CTV viết bài R.e.v.i.e.w sản phẩm, t.h.u n.h.ậ.p 200k/bài. Job m.ỗ.i n.g.à.y. Inbox."
spam,"Dịch vụ H.ú.t h.ầ.m c.ầ.u, t.h.ô.ng t.ắ.c c.ố.ng giá rẻ nhất khu vực. Gọi ngay: 098x.xxx.xxx"
spam,"[T.I.K.I] Account của bạn nhận được 1 lượt Q.u.a.y s.ố m.a.y m.ắ.n trúng xe máy. Link: tiki-lucky.cc"
spam,"Trade F.o.r.e.x cùng chuyên gia, c.a.m k.ế.t l.ã.i 20%/tháng. Join ngay group Zalo để nhận Signal."
spam,"C.u.n.g c.ấ.p c.á.c l.o.ạ.i c.h.ứ.n.g c.h.ỉ T.o.e.i.c, I.e.l.t.s p.h.ô.i t.h.ậ.t, b.a.o h.ậ.u k.i.ể.m."
spam,"[L.A.Z.A.D.A] Khuyến mãi 12/12: S.a.l.e h.ủ.y d.i.ệ.t 99%. Mua ngay tại: http://lazada-mega-sale.vn"
spam,"Nhận l.à.m d.ị.c.h v.u t.ă.n.g t.ư.ơ.n.g t.á.c, x.e.y b.r.a.n.d cá nhân trên M.e.d.i.a. LH: 094x.xxx.xxx"
spam,"[B.I.N.A.N.C.E] Bạn có 1 khoản t.i.ề.n Bonus chưa nhận. Login để claim m.o.n.e.y: http://binance-bonus.net"
spam,"Tuyển D.r.i.v.e.r ship hàng nội thành, lương 10tr + Bonus. Có xe máy là l.à.m ngay. LH: 035x.xxx.xxx"
spam,"H.ỗ t.r.ợ l.à.m l.ý l.ị.c.h t.ư p.h.á.p, h.ộ c.h.i.ế.u nhanh. Không cần xếp hàng. LH: 091x.xxx.xxx"
spam,"[W.I.N.7.9] Cổng game nổ hũ cực lớn, t.ặ.n.g C.o.d.e 79k khi r.e.g.i.s.t.e.r. Link: win79-vn.vip"
spam,"Cung cấp máy đ.á.n.h b.à.i mã vạch, kính á.p t.r.ò.n nhìn xuyên bài. LH đại lý: 09x.xxx.xxx"
spam,"[A.I.R.B.N.B] Nhận ngay m.ã g.i.ả.m g.i.á $20 cho lần Đ.ặ.t p.h.ò.n.g đầu tiên. Link: airbnb-vn.site"
spam,"Dịch vụ s.ử.a c.h.ữ.a đ.i.ệ.n t.ử t.ạ.i n.h.à, nhanh chóng chuyên nghiệp. Gọi ngay: 093x.xxx.xxx"
spam,"[F.A.C.E.B.O.O.K] Xác minh danh tính account của bạn để tránh bị b.a.n. Link: http://fb-verify-acc.com"
spam,"Tuyển CTV l.ồ.n.g t.i.ế.ng phim, income hấp dẫn. Không yêu cầu kinh nghiệm. Inbox nhận s.c.r.i.p.t."
spam,"[G.O.V] Thông báo bạn vi phạm quy định trật tự đô thị. Nộp phạt online tại: http://phatnguoi-online.org"
spam,"Mua bán t.i.ề.n g.i.ả giống thật 99%, không phát hiện khi qua máy soi. Giao hàng toàn quốc."
spam,"[S.A.M.S.U.N.G] Chúc mừng bạn là người may mắn nhận được G.a.l.a.x.y S24 Ultra. Link: samsung-gift.cc"
spam,"H.ỗ t.r.ợ đ.ă.n.g k.ý s.á.n s.ố đ.ỏ, t.r.a c.ứ.u q.u.y h.o.ạ.c.h đất đai nhanh nhất. LH: 092x.xxx.xxx"
spam,"[V.N.P.A.Y] Tặng gói combo V.o.u.c.h.e.r thanh toán hóa đơn trị giá 1tr. Nhận ngay: vnpay-reward.vn"
spam,"Tuyển n.h.â.n v.i.ê.n t.r.ự.c p.a.g.e, rep inbox khách hàng. Lương 8tr. Làm việc tại Q1."
spam,"[K.U.B.E.T] Sân chơi đ.ẳ.n.g c.ấ.p, hoàn trả cực cao, nạp rút 1:1. Link chính thức: kubet-vn.net"
spam,"Dịch vụ đ.ò.i n.ợ t.h.uê, cam kết lấy lại tiền nhanh chóng, đúng pháp luật. LH: 09x.xxx.xxx"
spam,"[G.R.A.B] Ưu đãi đặt món 0 đồng dành riêng cho bạn vào bữa trưa. Mở app ngay: http://grab-food.cc"
spam,"Tuyển n.g.ư.ờ.i m.ẫ.u ảnh, mẫu l.i.v.e.s.t.r.e.a.m thời trang. Income 20-50tr/tháng. LH: 098x.xxx.xxx"
spam,"[A.P.P.L.E] Your s.u.b.s.c.r.i.p.t.i.o.n has been p.u.r.c.h.a.s.e.d. Nếu không phải bạn, click: http://apple-cancel.com"
spam,"Dịch vụ t.h.i t.h.uê chứng chỉ tiếng Anh, đầu ra đảm bảo 100%. Inbox kín để trao đổi."
spam,"[V.I.E.T.J.E.T] Săn vé máy bay 0 đồng trong khung giờ vàng. Đặt ngay tại: http://vietjet-sale.vn"
spam,"H.ỗ t.r.ợ m.ở k.h.ó.a t.i.n d.ụ.n.g, đáo hạn thẻ ngân hàng phí thấp. LH: 07x.xxx.xxx"
spam,"[Z.A.L.O.P.A.Y] Nhận ngay 200k khi liên kết ngân hàng thành công. Link: zalopay-uudai.me"
spam,"Tuyển cộng tác viên đ.á.n.h m.á.y t.ạ.i n.h.à, lương tính theo số trang. LH: 036x.xxx.xxx"
spam,"!!! CHUC MUNG !!! Bạn đã trúng 01 giải NHẤT: Xe máy SH 150i. Truy cập ngay h.t.t.p://traothuong-sh2026.com để làm thủ tục nhận quà."
spam,"Vay tiền mặt trả góp 0% lãi suất. Hạn mức lên đến 50.000.000đ. Thủ tục chỉ cần CCCD. LH Zalo: 09xx.333.xxx (Huy)"
spam,"[CẢNH BÁO] Tài khoản VCB của quý khách bị tạm khóa vì lý do bảo mật. Vui lòng xác thực tại: https://vcb-digibank-secure.cc ngay!"
spam,"(QC) Nhà cái uy tín số 1 Châu Á. Đăng ký nhận ngay 88k trải nghiệm. Nạp 1 được 2. Link: bit.ly/bet-vn88"
spam,"Tuyển CTV xử lý đơn hàng Shopee/Lazada. Thu nhập 300k-700k/ngày. Không cọc, không phí. Inbox Zalo 0812.xxx.xxx"
spam,"Bạn có 1 bưu phẩm bị kẹt tại hải quan. Vui lòng thanh toán phí lưu kho 250k để nhận hàng. LH: 1900.xxxx"
spam,"NHAN NGAY IPHONE 15 PRO MAX chi voi 10k tham gia quay so may man. Duy nhat hom nay tai: https://apple-vongquay.vn"
spam,"Dịch vụ cày thuê rank Liên Quân, chuyên nghiệp, uy tín, bảo mật. Giá chỉ từ 20k. Liên hệ Zalo: 033x.xxx.xxx"
spam,"Bí mật làm giàu từ tiền điện tử! Cam kết x5 tài khoản sau 1 tuần. Tham gia nhóm kín: t.me/kiemtienonline_vn"
spam,"Hỗ trợ xóa nợ xấu, nâng hạn mức thẻ tín dụng. Bao đậu 100%. Hotline: 0909.xxx.xxx (Minh)"
spam,"Tặng 1000 lượt sub, like miễn phí cho kênh TikTok mới. Chi tiết tại: https://automkt-vn.net"
spam,"Cơ hội sở hữu đất nền Long Thành giá chỉ 500tr/nền. Sổ hồng riêng. Gọi ngay 0912.xxx.xxx để xem đất."
spam,"[TB] Thuê bao 09x... nhận được gói quà tặng Data 4G tốc độ cao miễn phí. Soạn tin KM gửi 999 để nhận ngay."
spam,"Làm nhiệm vụ Youtube kiếm tiền: 1 video = 20.000đ. Thanh toán qua Momo. Add Zalo để nhận việc: 058x.xxx.xxx"
spam,"Duy nhat ngay hom nay! Giam gia 90% cac loai dong ho Rolex, Hublot (hang rep 1:1). Xem tai: dongho-gia-re.shop"
spam,"Tai khoan iCloud cua ban co nguy co bi xam nhap. Click vao day de bao mat: http://apple-id-verify.top"
spam,"Xả kho điện thoại iPhone giá rẻ như cho. Chỉ từ 2 triệu đồng/máy. Địa chỉ: 123 Đường X, Hà Nội."
spam,"Ban da duoc chon vao danh sach nhan ho tro tai chinh 20tr tu quy tu thien. Truy cap: http://quy-ho-tro.org"
spam,"Mua sim số đẹp, sim tứ quý, sim phát lộc giá gốc tại kho. Giao sim toàn quốc. Website: simdep-giare.vn"
spam,"(Cảnh báo) Hệ thống phát hiện bạn vi phạm luật GT. Vui lòng nộp phạt nguội tại link: http://phatnguoi-gt.gov.vn"
spam,"Kiếm 500k/ngày bằng cách đánh máy văn bản tại nhà. Không cần kinh nghiệm. Liên hệ Ms. Lan: 077x.xxx.xxx"
spam,"Nha cai AE888 - Thuong 100% lan nap dau tien - Rut tien trong 5 phut. Dang ky tai: ae888vn.vin"
spam,"Ưu đãi lớn: Mua 1 tặng 1 tất cả các sản phẩm nước hoa chính hãng. Chỉ áp dụng cho khách hàng nhận được tin nhắn này."
spam,"Chuyên cung cấp bằng cấp, chứng chỉ các loại (Đại học, Tiếng Anh, Tin học). Uy tín, phôi thật. Zalo: 094x.xxx.xxx"
spam,"Tặng ngay voucher 500k khi nạp thẻ điện thoại từ 100k trở lên qua cổng thanh toán: http://napthe-uudai.com"
spam,"Cập nhật thông tin sinh trắc học cho ngân hàng để không bị gián đoạn giao dịch. Link: http://ebank-verify.net"
spam,"[Shopee] Tài khoản của bạn đạt mức Kim Cương. Nhận ngay bộ quà tặng tri ân tại: http://shopee-member.club"
spam,"Cho vay bốc bát họ, thủ tục nhanh gọn, bí mật, có tiền sau 10p. LH ngay đại ca Long: 098x.xxx.xxx"
spam,"Học cách kiếm tiền từ AI mà không cần biết code. Cam kết thu nhập $1000/tháng. Đăng ký: http://aipro-vn.edu"
spam,"Phát hiện đăng nhập lạ vào ví MoMo của bạn tại TP.HCM. Nếu không phải bạn, hãy nhấn: http://momo-security.com"
spam,"Dịch vụ thám tử: Điều tra ngoại tình, xác minh danh tính, thu hồi nợ. Uy tín 100%. Hotline: 093x.xxx.xxx"
spam,"Đăng ký nhận ngay bộ tài liệu hướng dẫn Trade Coin từ A-Z miễn phí. Link tải: http://trade-coin.io/gift"
spam,"Xả hàng tồn kho: Giày Nike, Adidas chính hãng đồng giá 299k. Số lượng có hạn! Mua ngay: bit.ly/giay-sale"
spam,"Nhận quà 8/3 miễn phí dành cho các bạn nữ. Chỉ cần trả phí vận chuyển 30k. Đăng ký tại: http://quatang83.top"
spam,"Bạn có 1 tin nhắn thoại chưa nghe từ số 0912xxxxxx. Nhấn phím 1 để nghe lại (phí 5000đ/phút)."
spam,"Hỗ trợ mở khóa tài khoản Facebook bị checkpoint, hack, đổi pass. LH ngay: fb-support-vn.com"
spam,"Khai truong san bay online - Tang 50k cho thanh vien moi - Khong can nap tien van rut duoc. Link: bet68.club"
spam,"Sở hữu ngay làn da trắng sáng chỉ sau 1 liệu trình. Giảm giá 50% cho khách hàng mới. Inbox ngay!"
spam,"[Thông báo] Bạn nhận được phiếu mua hàng trị giá 2tr tại siêu thị Co.opmart. Xem tại: http://coop-voucher.site"
spam,"Mời bạn tham gia sàn đầu tư chứng khoán quốc tế. Nhận ngay $50 trải nghiệm. Zalo chuyên gia: 092x.xxx.xxx"
spam,"Thanh lý xe máy trốn thuế, giá chỉ bằng 1/3 thị trường. Wave 5tr, SH 20tr. Xem ảnh tại: bit.ly/xe-thanh-ly"
spam,"Cơ hội làm giàu: Đầu tư nuôi bò online, lợi nhuận 1%/ngày. Rút tiền hàng ngày qua thẻ ngân hàng."
spam,"Đăng ký mạng 5G Viettel siêu tốc chỉ 5k/ngày. Soạn tin 5G gửi 191 để nhận ưu đãi đặc biệt."
spam,"Ban co 1 khoan tien chua rut tu quy bao hiem xa hoi. Vui long hoan tat thu tuc tai: http://bhxh-online.gov.vn"
spam,"Tuyển nam/nữ làm việc văn phòng, lương 15tr + hoa hồng. Không yêu cầu bằng cấp. Gọi: 086x.xxx.xxx"
spam,"Khám phá bí mật trúng Vietlott mỗi ngày. Tỷ lệ chính xác 99%. Tham gia nhóm soi cầu: t.me/soicau-vietlott"
spam,"Tài khoản của bạn đã trúng thưởng 1 chiếc đồng hồ Apple Watch Ultra. Điền thông tin nhận quà: http://apple-giveaway.com"
spam,"Nhận thi công công trình, sửa chữa nhà cửa, sơn nước giá rẻ. Liên hệ chú Tư: 097x.xxx.xxx"
spam,"Dịch vụ hack pass Facebook, Zalo, đọc trộm tin nhắn. Cam kết không bị phát hiện. Website: hack-pro.vn"
spam,"Tặng 1 thẻ cào 200k cho thành viên tích cực nhất trong nhóm. Nhấn vào link để bình chọn: http://gift-lucky.net"
spam,"Cung cấp sỉ lẻ các loại mỹ phẩm xách tay từ Hàn Quốc, Nhật Bản. Giá tốt nhất thị trường. Zalo: 056x.xxx.xxx"
spam,"Gói cước gọi nội mạng thả ga chỉ 20k/tháng. Đăng ký ngay hôm nay để nhận thêm 2GB data."
spam,"Bạn là người may mắn thứ 99.999 truy cập trang web. Nhận ngay quà tặng bí mật tại: http://secret-gift.com"
spam,"Hỗ trợ làm CCCD gắn chip nhanh, không phải chờ đợi. Giao tận nơi. Liên hệ: 095x.xxx.xxx"
spam,"Mở bán căn hộ cao cấp ngay trung tâm quận 1, trả trước 30%, còn lại trả góp 20 năm lãi suất thấp."
spam,"Ban dang gap kho khan tai chinh? Hay de chung toi giup ban. Vay nhanh 5tr - 100tr. Duyet hồ sơ trong 5p."
spam,"Đăng ký thành viên VIP để nhận link phim mới nhất, không quảng cáo. Giá chỉ 20k/tháng."
spam,"Cảnh báo: Máy tính của bạn đang bị virus tấn công. Tải phần mềm diệt virus tại: http://clean-pc.xyz ngay!"
spam,"Nhận ngay 1 vé xem phim miễn phí tại CGV khi thanh toán qua ví điện tử của chúng tôi."
spam,"Chuyên sim rác, sim kích hoạt sẵn để chạy quảng cáo, tạo tài khoản. Giá rẻ. LH: 09x.xxx.xxx"
spam,"Kinh doanh không vốn với mô hình Dropshipping. Thu nhập thụ động cực cao. Xem hướng dẫn: bit.ly/dropship-vn"
spam,"Bạn có 1 đơn hàng đang chờ xác nhận từ TikTok Shop. Vui lòng kiểm tra: http://tiktok-verify.net"
spam,"Tặng bộ tài liệu 100 bài hát karaoke hot nhất 2024. Nhấn vào đây để tải về máy."
spam,"Dịch vụ chuyển nhà trọn gói, dọn văn phòng chuyên nghiệp, giá sinh viên. LH: 039x.xxx.xxx"
spam,"Hỗ trợ lấy lại tiền bị lừa đảo qua mạng, sàn chứng khoán, cá độ. LH VP Luật: 091x.xxx.xxx"
spam,"[Tin nhắn từ hệ thống] Bạn nhận được 1 yêu cầu kết bạn từ người quen. Xem là ai: http://find-friends.com"
spam,"Săn sale 0 đồng: Điện thoại, máy tính bảng, đồ gia dụng. Duy nhất khung giờ 12h-13h tại: http://flash-sale.vn"
spam,"Nhận dạy kèm 1 kèm 1 các môn Toán, Lý, Hóa từ lớp 6-12. Cam kết tiến bộ sau 1 tháng."
spam,"Cung cấp nguồn hàng sỉ quần áo Quảng Châu giá tận gốc. Hỗ trợ gửi hàng toàn quốc. Zalo: 088x.xxx.xxx"
spam,"Ban da trung thuong giai khuyen khich chuong trinh 'He ruc ro'. Qua tang la 1 bo am chen minh long."
spam,"Dịch vụ bằng lái xe máy, ô tô bao đậu, có hồ sơ gốc. Không cần đi thi. LH: 092x.xxx.xxx"
spam,"Nhận ngay 100k vào tài khoản khi giới thiệu bạn bè sử dụng ứng dụng của chúng tôi."
spam,"Tham gia khảo sát thị trường để nhận thẻ quà tặng trị giá 200k. Chỉ mất 2 phút thực hiện."
spam,"[Apple] Yêu cầu tìm iPhone của bạn đã được kích hoạt. Xem vị trí máy tại: http://icloud-find.com"
spam,"Hỗ trợ vay vốn sinh viên, lãi suất ưu đãi, không cần chứng minh thu nhập. LH: 070x.xxx.xxx"
spam,"Mua bán tiền ảo, USDT số lượng lớn, tỷ giá tốt, giao dịch an toàn tại Hà Nội/TPHCM."
spam,"Nhận ngay gói bảo hiểm sức khỏe miễn phí cho cả gia đình khi mua bảo hiểm nhân thọ hôm nay."
spam,"[Cảnh báo] Tài khoản ngân hàng của bạn đang được đăng nhập tại một trình duyệt lạ. Nhấn để khóa: http://bank-secure.top"
spam,"Cung cấp các loại đồ chơi công nghệ, thiết bị quay lén, định vị siêu nhỏ. LH: 096x.xxx.xxx"
spam,"Mua 1 đồng hồ thông minh tặng 1 tai nghe Bluetooth. Freeship toàn quốc. Đặt hàng ngay!"
spam,"Học tiếng Anh giao tiếp cấp tốc cho người đi làm. Cam kết nói trôi chảy sau 3 tháng."
spam,"Chương trình tri ân khách hàng: Tặng 1 nồi chiên không dầu cho hóa đơn trên 2 triệu."
spam,"[Garena] Chúc mừng bạn nhận được trang phục bậc SSS miễn phí. Nhận quà tại: http://su-kien-garena.vn"
spam,"Dịch vụ làm đẹp tại nhà: Cắt tóc, làm nail, nối mi. Giá cả cạnh tranh. LH chị Huệ: 098x.xxx.xxx"
spam,"Bạn có muốn biết ai đang bí mật vào xem trang cá nhân của mình không? Nhấn vào đây để xem kết quả."
spam,"Cung cấp tài khoản Netflix, Spotify, Youtube Premium giá cực rẻ. Bảo hành trọn đời."
spam,"[Thông báo] Bạn còn 1 khoản nợ tiền điện chưa thanh toán. Vui lòng đóng tiền tại link: http://dienluc-vn.com"
spam,"Hỗ trợ đăng ký grab, xanh sm, lalamove nhanh chóng. Tặng đồng phục miễn phí."
spam,"Nhận ngay 500 điểm thưởng vào thẻ thành viên khi mua sắm vào ngày thứ 4 hàng tuần."
spam,"[Zalo] Tài khoản của bạn bị báo cáo vi phạm tiêu chuẩn cộng đồng. Xác minh ngay: http://zalo-verify.me"
spam,"Cung cấp sỉ lẻ các loại đặc sản vùng miền, đảm bảo vệ sinh ATTP. LH: 09x.xxx.xxx"
spam,"Nhận vẽ chân dung, thiết kế logo, banner giá rẻ cho cá nhân và doanh nghiệp."
spam,"Tặng ngay 1 cặp vé máy bay khứ hồi đi Đà Lạt cho khách hàng may mắn nhất tháng."
spam,"[Telegram] Bạn được mời vào nhóm 'Kèo thơm mỗi ngày'. Nhấn để tham gia: t.me/keothom_vn"
spam,"Hỗ trợ làm visa, hộ chiếu nhanh, bao đậu các nước Mỹ, Úc, Canada. LH: 091x.xxx.xxx"
spam,"Nhận ngay 1 cuốn sách nói miễn phí khi đăng ký tài khoản trên ứng dụng của chúng tôi."
spam,"[Thông báo] Hệ thống sẽ nâng cấp vào đêm nay, vui lòng không giao dịch trong thời gian này."
spam,"Cung cấp dịch vụ quảng cáo Google Ads, Facebook Ads hiệu quả, cam kết ra đơn."
spam,"Mua trả góp iPhone 15 chỉ với 1 triệu đồng mỗi tháng. Thủ tục đơn giản, duyệt nhanh."
spam,"[Cảnh báo] Mật khẩu Facebook của bạn vừa bị thay đổi. Nếu không phải bạn, hãy nhấn: http://fb-recover.net"
ham,"Ê tí nữa đi làm về ghé qua tiệm tạp hóa mua hộ tớ túi bột giặt với nhé."
ham,"Alo bạn ơi, cái file báo cáo tớ gửi qua email cậu xem lại giúp tớ mấy chỗ bôi đỏ nhé."
ham,"Mẹ bảo tối nay nhà có khách, con sắp xếp công việc về sớm ăn cơm với cả nhà nha."
ham,"Cuối tuần này lớp mình đi dã ngoại ở vườn quốc gia Ba Vì, cậu có đăng ký tham gia không?"
